Year,LocationName,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,CountyFIPS
2022,17031813200,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,4.6,,,4.1,5.1,4582,3293,POINT (-87.7969689 41.8690617),17031813200,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,17031
2022,17031806103,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,5.3,,,4.7,6.0,5269,4271,POINT (-87.9118137 42.0588334),17031806103,HLTHOUT,COPD,CrdPrv,COPD,17031
2022,17031809500,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,7.0,,,6.2,8.0,4346,3831,POINT (-87.6877279 42.0464554),17031809500,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17031
2022,17031804809,Health Outcomes,Obesity among adults,%,Crude prevalence,28.1,,,24.8,31.5,4259,3326,POINT (-88.1012621 42.0110786),17031804809,HLTHOUT,OBESITY,CrdPrv,Obesity,17031
2022,17031770500,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,14.1,,,12.6,15.8,4632,3020,POINT (-87.9447433 42.0080063),17031770500,HLTHOUT,DIABETES,CrdPrv,Diabetes,17031
2022,17031822702,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,6.8,,,6.1,7.5,3828,3027,POINT (-87.7305797 41.7056906),17031822702,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,17031
2022,17031680900,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,40.2,,,37.1,43.2,3573,2696,POINT (-87.6376304 41.7764305),17031680900,PREVENT,DENTAL,CrdPrv,Dental Visit,17031
2022,17031660800,Prevention,Visited dentist or dental clinic in the past year among adults,%,Crude prevalence,47.3,,,44.0,50.5,6114,4531,POINT (-87.6932656 41.7736413),17031660800,PREVENT,DENTAL,CrdPrv,Dental Visit,17031
2022,17031802505,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,13.5,,,12.0,15.1,6723,5233,POINT (-87.9126363 42.122275),17031802505,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17031
2022,17031820101,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,5.7,,,5.1,6.4,7889,6417,POINT (-87.9034274 41.7761897),17031820101,HLTHOUT,COPD,CrdPrv,COPD,17031
2022,17031720200,Disability,Mobility disability among adults,%,Crude prevalence,11.9,,,10.6,13.2,4131,3257,POINT (-87.6660545 41.7130417),17031720200,DISABLT,MOBILITY,CrdPrv,Mobility Disability,17031
